org,date,position_summary,quote,doc_url,source_page
Grand Canyon River Guides,,"Urges strong protections for Grand Canyon resources: minimize non-native fish passthrough by keeping Lake Powell above 3525’, protect sediment and native fish, ensure High Flow Experiments, develop a “Protect Grand Canyon” alternative, and plan for worst-case hydrology up to 50% flow reductions.",Due consideration must be made to keeping Lake Powell above the 3525’ threshold to minimize passthrough and reduce warming of the river below Glen Canyon Dam.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Grand Canyon River Guides, Inc.",2023-08-15,"Requests post-2026 operations protect Grand Canyon values per the Grand Canyon Protection Act: ensure HFEs to replenish sandbars, maintain safe navigable base flows, protect native fish and cultural resources, and adopt sustainable, ecologically responsible operational strategies.","The Secretary shall operate Glen Canyon Dam… in such a manner as to protect, mitigate adverse impacts to, and improve the values for which Grand Canyon National Park and Glen Canyon National Recreation Area were established",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon River Guides’ (GCRG),2023-12-11,"Asks BOR to uphold Grand Canyon Protection Act and ESA, assess LTEMP/CRMP impacts, keep Lake Powell above 3525', oppose 5,000 cfs as unsafe (support higher minimums), require at least two weeks notice for flow reductions, and improve communications.","GCRG contends that 5,000 cfs is NOT a safe whitewater boating threshold",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/283_Grand Canyon River Guides Inc_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
GRAND CANYON TRUST,,"Requests post-2026 guidelines incorporate environmental and cultural objectives, tribal water security, equity, groundwater conservation, and sustainability; urges integrating LTEMP/AMWG science and creating demand-reduction plans to stabilize and recover reservoir levels.",Reclamation should consider the values we articulated above including: 1) the health and integrity of the Colorado River and its tributaries; 2) tribal sovereignty and water security of the 30 tribal nations; 3) equity for both people and nature,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Trust,,"Submits scoping comment urging development of post-2026 guidelines that protect ecological, cultural, and community values of the Colorado River and support just, sustainable management and climate resilience.",We appreciate the opportunity to provide scoping comment on the development of the post-2026 guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Trust,2023-08-15,"Provides scoping comments on Post-2026 operational guidelines, urging inclusive, sustainable, and adaptive rules to replace outdated agreements; emphasizes protecting cultural, environmental, recreational, and tribal values of the Grand Canyon and improving long-term system stability.","The scoping process—and ultimately what (or whom) gets included or excluded from the guidelines—may be one of the most important factors influencing the effectiveness, sustainability, and longevity of the post-2026 guidelines.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Grand Canyon Trust,2023-11-17,Requests explanation for choice of 80% ESP hydrology period (1999-2002 vs 2011-2014) and asks Reclamation to share trace analyses and end-of-month pool elevation graphs for 80% ESP using 2011-2014 hydrology across alternatives including June 2023 conditions.,I am curious why the 80% ESP analysis presented today in the Revised Oct Draft SEIS uses the 1999-2002 period and the analysis used in the April Draft SEIS was from 2011-2014.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/4_Grand Canyon Trust_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Grand Canyon Trust,2023-12-11,"Grand Canyon Trust urges Reclamation to comply with NEPA by fully analyzing additional alternatives (including Alternatives 1 and 2), expand the Revised Draft SEIS, and adopt additional short-term conservation beyond the proposed action to stabilize reservoirs.",Reclamation should either fully analyze Alternatives 1 and 2 in the Revised Draft SEIS including the full range of its environmental consequences,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/288_Grand Canyon Trust_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Grand Canyon Trust,2023-12-20,"Calls on Reclamation to analyze tradeoffs of demand reductions, prepare vulnerability assessments, and prioritize conservation and demand reduction to protect communities, cultures, environments, and public health.","Grand Canyon Trust’s Scoping Comments on the SEIS for Near-Term Operations of Lake Powell and Lake Mead dated December 20, 2023 at 11-12. These comments are incorporated herein by this reference.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
HAVASUPAI TRIBAL COUNCIL,,"Requests the DEIS identify and analyze indirect but significant impacts of Colorado River operations on tribal groundwater, springs, and dependent ecosystems; demands evaluation of spring flow declines, groundwater pumping effects, uranium migration risks, and threats to Humpback Chub.","We are concerned that actions taken by Reclamation in operating the Colorado River system could have indirect , yet significant, impacts to the Tribe's water resources.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
HBACA/SAHBA Comments,,"Requests the EIS analyze how Post-2026 Guidelines will affect the housing industry and state economy, prioritize in-depth analysis and consultation with industry experts, and adopt a comprehensive system-wide approach including augmentation and exchange frameworks.",we ask that the EIS consider the specific impacts that the Guidelines will have on our housing industry and our economy,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Helix Water District,2023-07-24,Advocates conservation and reuse as primary means to reduce water use; requests financial support (grants) for large reuse projects and encourages state action on conservation and new supplies to ensure equity.,"Conservation is the most affective way of cutting back water use (low flow toilets, appliances, landscape solutions, paying for removal of grass, recycled water, repurified water).",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Home Builders Association of Central Arizona (HBACA) and the Southern Arizona Home Builders Association (SAHBA),2023-08-15,"Submitting scoping comments as representatives of the homebuilding industry (over 900 member companies), highlighting potential impacts of Post-2026 operational guidelines on housing, development, and related economic activity.","On behalf of the Home Builders Association of Central Arizona (HBACA) and the Southern Arizona Home Builders Association (SAHBA), we submit this letter as our comments during the Public Scoping Process for the Post 2026 Operational Guidelines (the Guidelines).",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Hopi Tribe,,"Supports Bureau of Reclamation efforts to create a forum for federal, state, and Basin Tribes to share information and seeks continued fair and equal consultation among stakeholders in post-2026 Colorado River operations.","The Hopi Tribe supports the recent efforts of the Bureau of Reclamation to create a forum for the Federal Government, the States, and the Basin Tribes to share information and find solutions for the future operations of the system.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Hualapai Tribe,,Urges the Department to protect CAP water allocations to Arizona tribes in congressionally approved settlements from post-2026 shortages and to meet shortages by curtailing non-Indian deliveries rather than reducing tribal allocations.,the water al.Jocated to Indian tribes by congressionally approved tribal water settlements not be reduced.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Hualapai Tribe,2023-08-01,"Seeks protection of congressionally approved tribal Colorado River water allocations, enforcement of the federal trust responsibility, and secure, firmed delivery and infrastructure funding to deliver CAP water to the Hualapai Reservation and economy.","protect the security of Colorado River water allocated by congress ionall y approved water settlements to Arizona tribes, including to the Hualapai Tribe.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Hualapai Tribe,2023-11-27,"Supports the Proposed Action reducing Colorado River withdrawals (3 million acre-feet) as preferable to No-Action; demands the Secretary and Reclamation protect congressionally‑approved tribal water allocations (including Hualapai's CAP water) from involuntary, uncompensated reductions absent tribal consent.","The Hualapai Tribe supports this Proposed Action as a short-term solution, and believes it to be preferable to the No-Action Alternative.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/619_Hualapai Tribe_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
